umls_cui_from_meddra	side_effect_name
C0281774	Acute psychosis
C0155919	Acute pulmonary oedema
C1565662	Acute renal insufficiency
C0035222	Acute respiratory distress syndrome
C0264490	Acute respiratory failure
C0341742	Acute retention of urine
C0857501	Acute schizophrenia
C0149512	Acute sinusitis
C0236816	Acute stress disorder
C0001361	Acute tonsillitis
C0234935	Acute urticaria
C1735373	Acute uveitis
C0001364	Acute yellow liver atrophy
C0001396	Adams-Stokes syndrome
C0001403	Addison's disease
C0001416	Adenitis
C0001418	Adenocarcinoma
C0007112	Adenocarcinoma of prostate
C0281361	Adenocarcinoma pancreas
C0001430	Adenoma benign
C0001486	Adenovirus infection
C0001511	Adhesion
C0001546	Adjustment disorder
C1735864	Administration site infection
C0851536	Administration site reaction
C1142117	Adnexa uteri pain
C0740804	Adnexal torsion
C0342490	Adrenal atrophy
C1370740	Adrenal carcinoma
C0151510	Adrenal cortex atrophy
C0405580	Adrenal cortical hypofunction
C0001621	Adrenal disorder
C0750887	Adrenal gland cancer
C0001623	Adrenal insufficiency
C0274714	Adrenergic syndrome
C0151467	Adrenocortical insufficiency acute
C3495917	Advanced breast cancer
C0877373	Advanced cancer
C0559546	Adverse reaction
C0001707	Aerophagia
C0233472	Affect lability
C0525045	Affective disorder
C2364111	Ageusia
C0541766	Aggravation of existing disorder
C0001807	Aggression
C1457883	Aggressive reaction
C0085631	Agitation
C0919572	Agitation postoperative
C0001816	Agnosia
C0001818	Agoraphobia
C0001824	Agranulocytosis
C0919569	Airway complication of anaesthesia
C2939065	Airway edema
C0001883	Airway obstruction NOS
C0392156	Akathisia
C0426959	Akinaesthesia
C0085623	Akinesia
C0855619	Alanine aminotransferase abnormal
C0855618	Alanine aminotransferase decreased
C0151905	Alanine aminotransferase increased
C0855620	Alanine aminotransferase normal
C0001916	Albinism
C0151472	Albumin globulin ratio abnormal
C0740469	Albumin high
C0860864	Albumin low
C0861120	Albumin urine increased
C0564622	Albumin urine present
C0001925	Albuminuria
C0085762	Alcohol abuse
C0556385	Alcohol craving
C0151474	Alcohol intolerance
C0001969	Alcohol intoxication
C0392620	Alcohol poisoning
C0549393	Alcohol problem
C0236663	Alcohol withdrawal syndrome
C0001973	Alcoholism
C0877609	Alertness decreased
C0750857	Alkaline phosphatase serum increased
C0002063	Alkalosis
C0151476	Alkalosis hypochloraemic
C0085570	Alkalosis hypokalaemic
C1609536	Allergic bronchospasm
C0162820	Allergic contact dermatitis
C0151436	Allergic cutaneous angiitis
C1112626	Allergic exanthema
C0008728	Allergic granulomatous angiitis
C1959797	Allergic hepatitis
C0847033	Allergic oedema
C0850569	Allergic rash
C0748726	Allergic sinusitis
C0863090	Allergic skin reaction
C0149526	Allergic urticaria
C0235893	Allergy aggravated
C0458247	Allodynia
C0002170	Alopecia
C0858678	Alopecia reversible
C0150450	Altered state of consciousness
C1096444	Altered visual depth perception
C0013240	Alveolar osteitis
C0034050	Alveolar proteinosis
C0549493	Alveolitis
C0002390	Alveolitis allergic
C0376288	Amaurosis
C0149793	Amaurosis fugax
C0002418	Amblyopia
C0002447	Amelia
C0232940	Amenorrhea secondary
C0002453	Amenorrhoea
C0238621	Aminoaciduria
C0541772	Ammonia increased
C0002622	Amnesia
C0233796	Amnesia transient
C0002631	Amniotic cavity infection
C0013927	Amniotic fluid embolism
C0859978	Amylase decreased
C0151479	Amylase increased
C0002726	Amyloidosis
C0002871	Anaemia
C0549445	Anaemia NOS aggravated
C0002886	Anaemia macrocytic
C0002888	Anaemia megaloblastic
C0002891	Anaemia neonatal
C0877398	Anaemia postoperative
C2004521	Anaemia vitamin B12 deficiency
C0854693	Anaesthetic complication neurological
C0281778	Anal abscess
C0003466	Anal atresia
C0279637	Anal cancer
C0343869	Anal candidiasis
C0948484	Anal discomfort
C0016167	Anal fissure
C0205929	Anal fistula
C0426747	Anal haemorrhage
C1735348	Anal irritation
C0033775	Anal pruritus
C0345903	Anal skin tags
C0877325	Anal sphincter atony
C0948482	Analgesic effect
C0412784	Analgesic therapy
C0002792	Anaphylactic shock
C0340865	Anaphylactoid reaction
C1868769	Anaphylactoid syndrome of pregnancy
C0334579	Anaplastic astrocytoma
C0206180	Anaplastic large-cell lymphoma
C0238461	Anaplastic thyroid cancer
C0919691	Anastomotic leak
C1442968	Anastomotic ulcer
C0162311	Androgenetic alopecia
C0857322	Anemic
C0002902	Anencephaly
C0002940	Aneurysm
C0002957	Anger
C0553548	Angiitis necrotising
C0002962	Angina pectoris
C0235467	Angina pectoris aggravated
C0858277	Angina symptom
C0002965	Angina unstable
C0235462	Anginal attack
C1695895	Angiodermatitis
C0002994	Angioedema
C0857323	Angioedema of larynx
C0020981	Angioimmunoblastic T-cell lymphoma
C0206633	Angiomyolipoma
C0042373	Angiopathy
C0017605	Angle closure glaucoma
C0221237	Angular cheilitis
C0003028	Anhidrosis
C0003044	Animal bite
C0852919	Animal scratch
C0342592	Anion gap increased
C0221278	Anisocytosis
C0235439	Ankle edema
C0159877	Ankle fracture
C0160087	Ankle sprain
C0038013	Ankylosing spondylitis
C0009663	Anogenital warts
C0003119	Anophthalmos
C2242737	Anorectal discomfort
C0687707	Anorectal disorder
C0003123	Anorexia
C0234022	Anorgasmia
C0003126	Anosmia
C0234507	Anosognosia
C0003128	Anovulation
C0429468	Anovulatory cycle
C0003130	Anoxia
C0269608	Antepartum hemorrhage
C0423282	Anterior chamber cell
C0423281	Anterior chamber flare
C1096278	Anterior chamber inflammation
C1112371	Anterior chamber pigmentation
C0751711	Anterior ischemic optic neuropathy
C0221069	Anterior spinal artery syndrome
C0042165	Anterior uveitis
C0233795	Anterograde amnesia
C0003175	Anthrax
C1168134	Anti-thyroid antibody positive
C0085819	Antibiotic associated colitis
C0578159	Antibiotic-associated diarrhea
C0151500	Anticholinergic syndrome
C0232826	Antidiuresis
C0860811	Antidiuretic hormone abnormality
C0238874	Antineutrophil cytoplasmic antibody positive
C1610056	Antinuclear antibody increased
C0151480	Antinuclear antibody positive
C0233523	Antisocial behaviour
C0003431	Antisocial personality disorder
C1096670	Antitussive therapy
C0003460	Anuria
C0003462	Anus disorder
C0003467	Anxiety
C0853074	Anxiety NEC
C0549259	Anxiety aggravated
C0700031	Anxiety attack
C0338908	Anxiety depression
C0003469	Anxiety disorder
C0700613	Anxiety state
C0860603	Anxiety symptoms NOS
C0003486	Aortic aneurysm
C1388177	Aortic arteriosclerosis
C0277934	Aortic bruit
C0003493	Aortic disorder
C0340643	Aortic dissection
C0741165	Aortic embolus
C0003504	Aortic valve incompetence
C1455780	Aortic valve sclerosis
C0003507	Aortic valve stenosis
C0085632	Apathy
C0549400	Apgar score low
C0221470	Aphagia
C0920195	Aphakic cystoid macular oedema
C0003537	Aphasia
C0003564	Aphonia
C0038363	Aphthous stomatitis
C0243065	Aplasia
C0034902	Aplasia pure red cell
C0002874	Aplastic anaemia
C0003578	Apnoea
C0162638	Apoptosis
C0003615	Appendicitis
C1971624	Appetite absent
C0003621	Appetite disorder
C0426584	Appetite exaggerated
C0234943	Application site anaesthesia
C0392160	Application site atrophy
C0877661	Application site burn
C1696942	Application site cellulitis
C0948299	Application site discharge
C1142160	Application site discolouration
C1328375	Application site discomfort
C0877098	Application site dryness
C0919599	Application site eczema
C1696574	Application site erosion
C0853700	Application site erythema
C1142498	Application site excoriation
C1610049	Application site exfoliation
C1167675	Application site folliculitis
C0877095	Application site haematoma
C0877094	Application site haemorrhage
C0919600	Application site hyperaesthesia
C1504422	Application site hypersensitivity
C1535849	Application site induration
C0521496	Application site infection
C0877126	Application site inflammation
C0521490	Application site irritation
C0234936	Application site oedema
C0521491	Application site pain
C0877127	Application site papules
C0877096	Application site paraesthesia
C0521494	Application site pigmentation changes
C0853714	Application site pruritus
C0877128	Application site pustules
C0521495	Application site rash
C0151505	Application site reaction
C0948300	Application site scab
C1142459	Application site scar
C0948301	Application site skin breakdown
C2721737	Application site stinging
C1096001	Application site swelling
C0521492	Application site ulcer
C0919603	Application site urticaria
C0877097	Application site vesicles
C0858794	Application site warmth
C0233485	Apprehension
C0003635	Apraxia
C0003708	Arachnoiditis
C1142068	Arcus lipoides
C0003742	Arcus senilis
C0234146	Areflexia
C0175683	Argininosuccinate synthetase deficiency
C1701474	Argumentativeness
C0003811	Arrhythmia
C0428974	Arrhythmia supraventricular
C0340613	Arterial aneurysm
C0151489	Arterial anomaly
C0003834	Arterial insufficiency
C0264995	Arterial occlusion
C0003838	Arterial occlusive disease
C0085617	Arterial spasm
C0877334	Arterial stenosis limb
C3544094	Arterial thromboembolism
C0151942	Arterial thrombosis
C0003850	Arteriosclerosis
C0010054	Arteriosclerosis coronary artery
C0339478	Arteriosclerotic retinopathy
C0010073	Arteriospasm coronary
C0003855	Arteriovenous fistula
C0340909	Arteriovenous fistula thrombosis
C2242711	Arteritic anterior ischaemic optic neuropathy
C0003860	Arteritis
C0003862	Arthralgia
C0549234	Arthralgia aggravated
C0155943	Arthralgia of temporomandibular joint
C0857177	Arthritic pains
C0003864	Arthritis
C0235889	Arthritis aggravated
C1692886	Arthritis bacterial
C0003869	Arthritis infective
C0022408	Arthropathy
C0853348	Arthropod bite
C0852932	Arthropod sting
C0003950	Ascariasis
C0003962	Ascites
C0085660	Aseptic necrosis
C0520474	Aseptic necrosis of bone
C0338375	Aseptic peritonitis
C0233528	Asocial behaviour
C0855622	Aspartate aminotransferase decreased
C0151904	Aspartate aminotransferase increased
C0855624	Aspartate aminotransferase normal
C0004030	Aspergillosis
C0851807	Aspergillus infection
C1704202	Aspermia
C0004044	Asphyxia
C0700198	Aspiration
C0004063	Assault
C0521305	Assisted fertilisation
C0549201	Asteatosis
C0232766	Asterixis
C0004093	Asthenia
C0004095	Asthenopia
C0004096	Asthma
C0549336	Asthma aggravated
C0347950	Asthmatic attack
C0004114	Astrocytoma
C1142524	Asymptomatic hyperlactatemia
C0004134	Ataxia
C0751837	Ataxic gait
C0004144	Atelectasis
C0004153	Atherosclerosis
C1963943	Atherothrombosis
C0004158	Athetosis
C0403645	Atonic urinary bladder
C0002103	Atopic rhinitis
C0005411	Atresia biliary
C0085611	Atrial arrhythmia
C0004238	Atrial fibrillation
C0155709	Atrial fibrillation and flutter
C0004239	Atrial flutter
C0340278	Atrial hypertrophy
C0232203	Atrial rhythm
C0018817	Atrial septal defect
C0546959	Atrial tachycardia
C0004245	Atrioventricular block
C0151517	Atrioventricular block complete
C0085614	Atrioventricular block first degree
C0264906	Atrioventricular block second degree
C0004331	Atrioventricular dissociation
C0155964	Atrophic glossitis
C0149836	Atrophic vulvovaginitis
C0333641	Atrophy
C0858899	Attention concentration difficulty
C0041671	Attention deficit disorder
C1263846	Attention deficit/hyperactivity disorder
C3160754	Atypical femur fracture
C3495700	Atypical fracture
C0026919	Atypical mycobacterial infection
C1412002	Atypical pneumonia
C3495947	Atypical stress fracture
C0740399	Auditory and visual hallucinations
C0260662	Auditory disorder NOS
C0236018	Aura
C0549297	Auricular swelling
C0004352	Autism
C1510586	Autism spectrum disorder
C0004364	Autoimmune disorder
C0002880	Autoimmune haemolytic anaemia
C0241910	Autoimmune hepatitis
C0242584	Autoimmune thrombocytopenia
C0004377	Automatism
C0741307	Autonomic dysfunction
C0262385	Autonomic nervous system imbalance
C0259749	Autonomic neuropathy
C0410480	Avascular necrosis femoral head
C0376286	Avitaminosis
C0270921	Axonal neuropathy
C0004509	Azoospermia
C0242528	Azotaemia
C0235446	Azotaemia of renal origin
C0554309	Azotemia prerenal
C0079731	B-cell lymphoma
C1292769	B-cell type acute leukaemia
C1096691	BK virus infection
C0263888	Back disorder
C0235706	Back distress
C0004601	Back injury
C0004604	Back pain
C0856133	Back pain aggravated
C0347721	Back strain
C0004610	Bacteraemia
C0948579	Bacteria urine identified
C2747813	Bacterial colonisation
C0853960	Bacterial disease carrier
C0004623	Bacterial infection
C0748023	Bacterial prostatitis
C1167760	Bacterial test positive
C0004659	Bacteriuria
C0852914	Bacteriuria NOS present
C0857051	Bad dreams
C0541799	Bad taste
C1744587	Balance difficulty
C0575090	Balance disorder
C0004690	Balanitis
C0276684	Balanitis candida
C0004691	Balanoposthitis
C0919777	Band neutrophil count increased
C0004763	Barrett's oesophagus
C0004767	Bartholin's cyst
C0007117	Basal cell carcinoma
C0018213	Basedow's disease
C0004812	Basilar artery syndrome
C0702266	Basophilia
C0542351	Battery
C0741453	Bedridden
C0004930	Behavior disorder
C0376175	Bell's palsy
C0346156	Benign breast neoplasm
C0497538	Benign gastrointestinal neoplasm
C0496870	Benign hepatic neoplasm
C0549315	Benign hydatidiform mole
C0033845	Benign intracranial hypertension
C0086692	Benign neoplasm
C0004998	Benign neoplasm of skin
C1704272	Benign prostatic hyperplasia
C0005001	Benign prostatic hypertrophy
C0154002	Benign vaginal neoplasm
C1321581	Bezoar
C0541802	Bicarbonate decreased serum
C0428196	Bicarbonate level
C1142446	Bicytopenia
C0521622	Bilateral hydronephrosis
C0740277	Bile duct cancer
C0267925	Bile duct stenosis
C0151824	Biliary colic
C0520571	Biliary fibrosis
C0282074	Biliary sludge
C0005424	Biliary tract disorder
C0232599	Bilious vomiting
C1142335	Bilirubin abnormal
C0855625	Bilirubin conjugated increased
C0858307	Bilirubin normal
C0741494	Bilirubin total increased
C0740435	Bilirubin unconjugated increased
C0859061	Bilirubin value increased
C0596170	Binge eating
C0853193	Bipolar I disorder
C0005586	Bipolar disorder
C0024032	Birth weight low
C0860645	Bizarre dreams
C0235347	Black hairy tongue
C0859290	Black spot
C0312422	Blacked-out (not amnesia)
C0005681	Blackwater fever
C0005684	Bladder cancer
C0699885	Bladder carcinoma
C0854448	Bladder constriction
C0549253	Bladder dilatation
C0549391	Bladder discomfort
C0005686	Bladder disorder
C0005687	Bladder distension
C0156273	Bladder diverticulum
C0232841	Bladder dysfunction
C0521626	Bladder fibrosis
C0600041	Bladder infection
C2945586	Bladder irritation
C0005694	Bladder neck obstruction
C0341751	Bladder necrosis
C0005695	Bladder neoplasm
C0232849	Bladder pain
C0426390	Bladder spasm
C0151919	Bladder stenosis
C0948786	Blanching
C0277941	Blanching of skin
C0005699	Blast cell crisis
C0005716	Blastomycosis
C3495440	Bleeding breakthrough
C1458140	Bleeding tendency
C0151529	Bleeding time prolonged
C0854438	Blepharal pigmentation
C0005741	Blepharitis
C0271308	Blepharitis allergic
C0005743	Blepharoconjunctivitis
C0005747	Blepharospasm
C0266648	Blighted ovum
C0456909	Blindness
C0155320	Blindness cortical
C0018975	Blindness day
C0155003	Blindness transient
C0271240	Blindness unilateral
C1879328	Blindness, both eyes
C0005758	Blister
C0857257	Bloated feeling
C0018794	Block heart
C0853050	Blood acid phosphatase increased
C0853777	Blood albumin decreased
C0853776	Blood albumin increased
C0852911	Blood alkaline phosphatase increased
C0852913	Blood amylase increased
C0853592	Blood antidiuretic hormone abnormal
C0853263	Blood bicarbonate
C0852909	Blood bicarbonate decreased
C0853737	Blood bicarbonate increased
C1142015	Blood bilirubin abnormal
C0877336	Blood bilirubin decreased
C0311468	Blood bilirubin increased
C0853289	Blood bilirubin normal
C0854134	Blood bilirubin unconjugated increased
C0853772	Blood calcium abnormal
C3665624	Blood calcium decreased
C0595902	Blood chloride decreased
C0595900	Blood chloride increased
C0853595	Blood cholesterol abnormal
C1536916	Blood cholesterol decreased
C0595930	Blood cholesterol increased
C0852792	Blood cortisol decreased
C1535970	Blood count abnormal
C0854029	Blood creatine increased
C0853958	Blood creatine phosphokinase MB increased
C0853782	Blood creatine phosphokinase abnormal
C0853034	Blood creatine phosphokinase increased
C0853746	Blood creatinine abnormal
C0852810	Blood creatinine decreased
C0235431	Blood creatinine increased
C0853035	Blood creatinine normal
C0740299	Blood culture positive
C0018939	Blood disorder
C0853748	Blood electrolytes abnormal
C0853885	Blood electrolytes decreased
C0854062	Blood fibrinogen decreased
C0852921	Blood fibrinogen increased
C0853124	Blood follicle stimulating hormone increased
C0476337	Blood gases abnormal
C0853890	Blood gastrin increased
C0580546	Blood glucose abnormal
C0595883	Blood glucose decreased
C0877314	Blood glucose fluctuation
C0595877	Blood glucose increased
C0853974	Blood gonadotrophin decreased
C0853973	Blood gonadotrophin increased
C0853015	Blood growth hormone increased
C0853705	Blood immunoglobulin G decreased
C1321898	Blood in stool
C0854380	Blood insulin decreased
C0852795	Blood insulin increased
C0853785	Blood iron decreased
C0853784	Blood iron increased
C0853149	Blood lactate dehydrogenase increased
C0853123	Blood luteinising hormone increased
C0853750	Blood magnesium decreased
C0853749	Blood magnesium increased
C1112762	Blood methaemoglobin present
C0860745	Blood monocytes increased
C0860749	Blood neutrophil count decreased
C0853021	Blood oestrogen decreased
C0853020	Blood oestrogen increased
C0853755	Blood osmolarity decreased
C0853754	Blood osmolarity increased
C0853028	Blood pH decreased
C1096509	Blood pancreatic amylase increased
C0853023	Blood parathyroid hormone increased
C0853753	Blood phosphate increased
C0877517	Blood phosphorus decreased
C0919625	Blood phosphorus increased
C0853759	Blood potassium abnormal
C0853761	Blood potassium decreased
C0853760	Blood potassium increased
C0005826	Blood pressure abnormal
C0277890	Blood pressure diastolic decreased
C0277889	Blood pressure diastolic increased
C0549405	Blood pressure fluctuation
C0919892	Blood pressure inadequately controlled
C0497247	Blood pressure increased
C2712122	Blood pressure normal
C0277885	Blood pressure systolic decreased
C0277884	Blood pressure systolic increased
C0853710	Blood prolactin decreased
C0854082	Blood prolactin increased
C0595878	Blood sodium increased
C0854146	Blood test abnormal
C0853117	Blood testosterone decreased
C0853118	Blood testosterone increased
C0852990	Blood thromboplastin decreased
C0853018	Blood thyroid stimulating hormone decreased
C0853019	Blood thyroid stimulating hormone increased
C0854111	Blood triglycerides decreased
C0853692	Blood triglycerides increased
C0438242	Blood urea abnormal
C0549395	Blood urea decreased
C0151539	Blood urea increased
C0438241	Blood urea normal
C0855642	Blood uric acid abnormal
C0855644	Blood uric acid decreased
C0235416	Blood uric acid increased
C0221752	Blood urine
C0947999	Blood urine present
C0855675	Blood zinc decreased
C0333271	Bloody discharge
C0233469	Blunted affect
C1096393	Body fat disorder
C0574770	Body hair loss
C2732728	Body height decreased
C0231255	Body mass index decreased
C0085595	Body odor
C0020672	Body temperature decreased
C0015967	Body temperature increased
C0040252	Body tinea
C0153690	Bone cancer metastatic
C0877225	Bone density decreased
C0231557	Bone development abnormal
C0005940	Bone disorder
C0238792	Bone lesion
C1368107	Bone marrow aplastic
C0151773	Bone marrow depression
C0238796	Bone marrow granuloma
C0948168	Bone marrow toxicity
C1306580	Bone mass decreased
C0005944	Bone metabolism disorder
C0005967	Bone neoplasm
C0151825	Bone pain
C0549335	Bone pain aggravated
C1704327	Bone sarcoma
C1956089	Bone spur
C0238807	Bone tenderness
C0232693	Borborygmi
C0232695	Bowel sounds decreased
C0426649	Bowel spasm
C0006079	Bowen's disease
C0079035	Bradyarrhythmia
C0428977	Bradycardia
C0410919	Bradycardia foetal
C0221047	Bradycardia-tachycardia syndrome
C0233565	Bradykinesia
C0554976	Bradyphrenia
C0233633	Bradypsychic response
C0006105	Brain abscess
C0220650	Brain cancer metastatic
C0006111	Brain disorder NOS
C1527348	Brain hypoxia
C0751955	Brain infarction
C0270611	Brain injury
C0006118	Brain neoplasm
C0496899	Brain neoplasm benign
C1527311	Brain oedema
C0677865	Brain stem glioma
C0521540	Brain stem haemorrhage
C1328447	Brain stem syndrome
C1135120	Breakthrough pain
C0151463	Breast abscess
C0151511	Breast atrophy
C0587094	Breast calcifications
C0006142	Breast cancer
C0235653	Breast cancer female
C0853879	Breast cancer invasive NOS
C0238033	Breast cancer male
C0278488	Breast cancer stage IV
C0006144	Breast cyst
C0149741	Breast discharge
C0877338	Breast discomfort
C0006145	Breast disorder
C0677658	Breast disorder female
C0085688	Breast engorgement
C2225524	Breast enlargement
C0235648	Breast enlargement female
C0006147	Breast feeding
C0269268	Breast induration
C0266008	Breast malformation
C0024103	Breast mass
C0520594	Breast microcalcification
C1458155	Breast neoplasm
C0242788	Breast neoplasm NOS male
C0235922	Breast neoplasm benign female
C0235649	Breast oedema
C0024902	Breast pain
C0553713	Breast pain female
C0235792	Breast pain male
C0006152	Breast swelling
C0262397	Breast tenderness
C1142383	Breast tension
C0235744	Breath holding
C0424332	Breath holding attack
C0018520	Breath odour
C0231856	Breath sounds abnormal
C0006261	Bronchial disorder
C1321133	Bronchial haemorrhage
C0085129	Bronchial hyperreactivity
C0221725	Bronchial obstruction
C0006267	Bronchiectasis
C0006271	Bronchiolitis
C0242770	Bronchiolitis obliterans with organizing pneumonia
C0007120	Bronchioloalveolar carcinoma
C0006277	Bronchitis
C0264344	Bronchitis bacterial
C0276141	Bronchitis viral
C0079043	Bronchoconstriction
C0006285	Bronchopneumonia
C1096448	Bronchopneumopathy
C2350530	Bronchopulmonary aspergillosis
C0006287	Bronchopulmonary dysplasia
C0006266	Bronchospasm
C0235906	Bronchospasm aggravated
C0236072	Bronchospasm paradoxical
C0029405	Brown tumour
C1142277	Brown urine
C1142166	Brugada syndrome
C0006325	Bruxism
C0235340	Buccal inflammation
C0235344	Buccal mucosa ulceration
C0856152	Buccal mucosal roughening
C0151538	Buccoglossal syndrome
C0852885	Bucking
C0856761	Budd-Chiari syndrome
C0520573	Buffalo hump
C0006370	Bulimia
C2267227	Bulimia nervosa
C0235818	Bullous eruption
C0021100	Bullous impetigo
C0155111	Bullous keratopathy
C0023648	Bullous lichen planus
C0006384	Bundle branch block
C0023211	Bundle branch block left
C0085615	Bundle branch block right
C0006413	Burkitt's lymphoma
C0006434	Burn
C0877605	Burning anal
C0236083	Burning feeling vagina
C0562057	Burning in throat
C0877717	Burning mouth
C0006430	Burning mouth syndrome
C0541819	Burning rectal
C0085624	Burning sensation
C0234655	Burning sensation in eye
C0241426	Burning tongue
C0332687	Burns second degree
C0006444	Bursitis
C0231710	Buttock pain
C0742906	C-reactive protein increased
C1696700	C1 esterase deficiency acquired
C0853142	CD4 lymphocytes decreased
C0151559	CNS depression NOS
C3160947	CNS toxicity
C0740304	COPD exacerbation
C0553702	Ca++ increased
C0006625	Cachexia
C0267537	Caecitis
C0158322	Calcaneal spur
C0221255	Calcification metastatic
C0006663	Calcinosis
C0595876	Calcium intoxication
C0860967	Calcium low
C0006705	Calcium metabolism disorder
C0005683	Calculus bladder
C0022650	Calculus of kidney
C1456865	Calculus ureteric
C0042018	Calculus urinary
C1142239	Call-Fleming syndrome
C0596240	Cancer pain
C0276680	Candida albicans infection
C0742224	Candida cervicitis
C0006840	Candida infection
C0403723	Candiduria
C1096213	Cannula site reaction
C0006905	Capillary fragility
C0151541	Capillary fragility increased
C0343084	Capillary leak syndrome
C0522058	Carbohydrate craving
C0541820	Carbohydrate tolerance decreased
C0860711	Carbon dioxide decreased
C0860713	Carbon dioxide increased
C0007078	Carbuncle
C0858970	Carcinogenicity
C0007095	Carcinoid tumour
C0007097	Carcinoma
C0678222	Carcinoma breast
C0699790	Carcinoma colon
C0684249	Carcinoma of lung
C0558353	Carcinoma of tongue
C0699791	Carcinoma stomach
C0677483	Carcinoma testes
C0268407	Cardiac amyloidosis
C0018790	Cardiac arrest
C0376297	Cardiac death
C1096252	Cardiac discomfort
C0018799	Cardiac disorder
C0741921	Cardiac enzymes increased
C0018801	Cardiac failure
C0264714	Cardiac failure acute
C0018802	Cardiac failure congestive
C0221045	Cardiac failure high output
C0235527	Cardiac failure right
C0232197	Cardiac fibrillation
C0016385	Cardiac flutter
C1383860	Cardiac hypertrophy
C0018808	Cardiac murmur
C0007166	Cardiac output decreased
