DRUG_NAME,ACCESSION,TARGET_NAME,ACT_VALUE,ACT_TYPE,SMILES
methaqualone,P48169|P28472|O14764,GABRA4|GABRB3|GABRD,3.91,EC50,CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O
alfentanil,P08183,ABCB1,3.951,IC50,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
nomifensine,P05164,MPO,3.963,Km,CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
warfarin,P08684,CYP3A4,3.98,Ki,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O
acetylsalicylic acid,Q9UHC3,ASIC3,4,IC50,CC(=O)OC1=CC=CC=C1C(O)=O
adenosine,Q8TEK3,DOT1L,4,IC50,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
aminoquinuride,P14780,MMP9,4,IC50,CC1=NC2=CC=C(NC(=O)NC3=CC=C4N=C(C)C=C(N)C4=C3)C=C2C(N)=C1
amiodarone,P29375,KDM5A,4,IC50,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
amitriptyline,P48542,Kcnj6,4,IC50,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
atomoxetine,Q13118,KLF10,4,IC50,CNCC[C@@H](OC1=C(C)C=CC=C1)C1=CC=CC=C1
benoxaprofen,O70127,Abcb11,4,IC50,CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1
bethanechol,P11229,CHRM1,4,Ki,CC(C[N+](C)(C)C)OC(N)=O
bethanechol,P08172,CHRM2,4,Ki,CC(C[N+](C)(C)C)OC(N)=O
bethanechol,P08173,CHRM4,4,Ki,CC(C[N+](C)(C)C)OC(N)=O
caffeine,P47745,ADORA1,4,Ki,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
levocarnitine,Q63704,Cpt1b,4,Ki,C[N+](C)(C)C[C@H](O)CC([O-])=O
levocarnitine,P18886,Cpt2,4,Ki,C[N+](C)(C)C[C@H](O)CC([O-])=O
chlordiazepoxide,P32238|P32239,CCKAR|CCKBR,4,IC50,CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1
chlordiazepoxide,P30551|P30553,Cckar|Cckbr,4,IC50,CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1
chlortetracycline,P27815,PDE4A,4,IC50,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O
chlortetracycline,Q9UM07,PADI4,4,IC50,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O
chlorzoxazone,O15554,KCNN4,4,EC50,ClC1=CC2=C(OC(=O)N2)C=C1
clavulanic acid,Q59401,,4,IC50,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O
clioquinol,P05067,APP,4,IC50,OC1=C2N=CC=CC2=C(Cl)C=C1I
cyclovalone,Q7ZJM1,pol,4,IC50,COC1=C(O)C=CC(C=C2CCCC(=CC3=CC(OC)=C(O)C=C3)C2=O)=C1
dichlorophen,P11021,HSPA5,4,IC50,OC1=C(CC2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1
diclofenac,Q9UHC3,ASIC3,4,IC50,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
diltiazem,P15388,Kcnc1,4,IC50,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
diltiazem,Q9JIS7,Cacna1f,4,IC50,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
epinastine,Q12809,KCNH2,4,IC50,NC1=NCC2N1C1=C(CC3=C2C=CC=C3)C=CC=C1
estriol succinate,P9WPP9,cyp51,4,Kd,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1C[C@@H](OC(=O)CCC(O)=O)[C@@H]2OC(=O)CCC(O)=O
flecainide,P22460,KCNA5,4,Kd,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
flecainide,P15388,Kcnc1,4,IC50,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
flufenamic acid,P15121,AKR1B1,4,IC50,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
flufenamic acid,O95069,KCNK2,4,EC50,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
glutamic acid,P19492,Gria3,4,EC50,N[C@@H](CCC(O)=O)C(O)=O
ibuprofen,Q8VD48,Dhrs9,4,IC50,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
levodopa,Q01650,SLC7A5,4,IC50,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
lidocaine,Q62968,Scn10a,4,IC50,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
maprotiline,P48542,Kcnj6,4,IC50,CNCCCC12CCC(C3=CC=CC=C13)C1=C2C=CC=C1
menadione,Q06278,AOX1,4,IC50,CC1=CC(=O)C2=CC=CC=C2C1=O
menadione,Q06278,AOX1,4,IC50,CC1=CC(=O)C2=CC=CC=C2C1=O
methoxamine,P35368,ADRA1B,4,Ki,COC1=CC(C(O)C(C)N)=C(OC)C=C1
mezlocillin,P21554,CNR1,4,IC50,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O
miglitol,Q58D55,GLB1,4,Ki,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
framycetin,P48442,Casr,4,Kd,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
nifedipine,P16388,Kcna1,4,IC50,COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC
phenylalanine,P09923,ALPI,4,IC50,N[C@@H](CC1=CC=CC=C1)C(O)=O
pramipexole,P07550,ADRB2,4,Ki,CCCN[C@H]1CCC2=C(C1)SC(N)=N2
primaquine,Q9WKE8,reverse transcriptas,4,IC50,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
primaquine,Q9WKE8,reverse transcriptas,4,IC50,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
mepacrine,P00592,PLA2G1B,4,IC50,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=CC(Cl)=CC=C12
mepacrine,P04055,Pla2g1b,4,IC50,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=CC(Cl)=CC=C12
quinidine,Q9Z258,Kcnt1,4,IC50,COC1=CC=C2N=CC=C([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)C2=C1
rolitetracycline,P14735,IDE,4,IC50,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(=O)NCN2CCCC2)=C1O)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
rolitetracycline,P14735,IDE,4,IC50,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(=O)NCN2CCCC2)=C1O)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
salicylic acid,O42713,PPO2,4,IC50,OC(=O)C1=CC=CC=C1O
sildenafil,O60658,PDE8A,4,IC50,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
sotalol,Q12809,KCNH2,4,Ki,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
sulfinpyrazone,Q96S37,SLC22A12,4,IC50,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1
tadalafil,Q12809,KCNH2,4,IC50,CN1CC(=O)N2[C@H](CC3=C(NC4=C3C=CC=C4)[C@H]2C2=CC=C3OCOC3=C2)C1=O
thiopental,Q63734,Kcnc4,4,IC50,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
trientine,P00915,CA1,4,Ki,NCCNCCNCCN
trifluoperazine,P78527,PRKDC,4,IC50,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
zidovudine,Q99720,SIGMAR1,4,Ki,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
suramin,Q15077,P2RY6,4,Kb,CC1=CC=C(C=C1NC(=O)C1=CC=CC(NC(=O)NC2=CC=CC(=C2)C(=O)NC2=C(C)C=CC(=C2)C(=O)NC2=CC=C(C3=CC(=CC(=C23)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O)=C1)C(=O)NC1=CC=C(C2=CC(=CC(=C12)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O
estriol,P9WPP9,cyp51,4,Kd,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O
ornithine,Q5T6X5,GPRC6A,4,EC50,NCCC[C@H](N)C(O)=O
quercetin,P17538,CTRB1,4,IC50,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1
quercetin,Q99895,CTRC,4,IC50,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1
triclosan,P11021,HSPA5,4,IC50,OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1
linagliptin,Q86TI2,DPP9,4,IC50,CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1
arbutin,O42713,PPO2,4,IC50,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
chenodiol,P21462,FPR1,4,Ki,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
deoxycholic acid,P21462,FPR1,4,Ki,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
migalastat,Q9HCG7,GBA2,4,IC50,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
cytisine,P02718,chrnd,4,EC50,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12
siponimod,O95136,S1PR2,4,EC50,CCC1=CC(=CC=C1CN1CC(C1)C(O)=O)C(\C)=N\OCC1=CC=C(C2CCCCC2)C(=C1)C(F)(F)F
propofol,P00918,CA2,4.005,IC50,CC(C)C1=CC=CC(C(C)C)=C1O
amiloride,Q9W6Q1,NHE1,4.01,IC50,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1
cianidanol,Q4QEW7,DHODH,4.01,IC50,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1
doxorubicin,P08183,ABCB1,4.01,IC50,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1
fenoprofen,O62664|O62698,PTGS1|PTGS2,4.01,IC50,CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1
mexiletine,O14649,KCNK3,4.01,IC50,CC(N)COC1=C(C)C=CC=C1C
mezlocillin,P09917,ALOX5,4.01,IC50,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O
norfloxacin,P37340,mdtK,4.01,Kd,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
praziquantel,O95342,ABCB11,4.01,IC50,O=C(C1CCCCC1)N1CC2N(CCC3=C2C=CC=C3)C(=O)C1
topiramate,P04775,Scn2a,4.01,IC50,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
trifluridine,P9WKE1,tmk,4.01,Ki,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
diltiazem,O95180,CACNA1H,4.017,Ki,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
phenylbutanoic acid,P15121,AKR1B1,4.02,IC50,OC(=O)CCCC1=CC=CC=C1
doxorubicin,P43870,hindIIIR,4.02,IC50,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1
lamotrigine,Q9Y5Y9,SCN10A,4.02,IC50,NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1
metoclopramide,O15245,SLC22A1,4.02,IC50,CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1
nifedipine,Q09470,KCNA1,4.02,IC50,COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC
primaquine,P27338,MAOB,4.02,IC50,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
probenecid,Q9HAW7,UGT1A7,4.02,Ki,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
simvastatin,Q10283,hmg1,4.02,IC50,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
valdecoxib,O78749,MT-CO1,4.02,IC50,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
rutoside,P03469,,4.02,IC50,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
phenylacetic acid,P15121,AKR1B1,4.02,IC50,OC(=O)CC1=CC=CC=C1
phenylbutanoic acid,Q9BY41,HDAC8,4.03,IC50,OC(=O)CCCC1=CC=CC=C1
astemizole,O75530,EED,4.03,IC50,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1
carvedilol,Q96FL8,SLC47A1,4.03,IC50,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=CC=CC=C2N3)C=CC=C1
cianidanol,P35354,PTGS2,4.03,IC50,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1
enprofylline,P0DMS8,ADORA3,4.03,Ki,CCCN1C2=C(N=CN2)C(=O)NC1=O
lactose,P17931,LGALS3,4.03,Kd,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
lansoprazole,P28776,Ido1,4.03,IC50,CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F
terbinafine,P52020,Sqle,4.03,IC50,CN(C\C=C\C#CC(C)(C)C)CC1=C2C=CC=CC2=CC=C1
thioguanine,P47989,XDH,4.03,IC50,NC1=NC2=C(NC=N2)C(=S)N1
linoleic acid,P79208,PTGS2,4.03,IC50,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O
linolenic acid,O62664,PTGS1,4.03,IC50,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
fenofibrate,P13945,ADRB3,4.032,Ki,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
amoxapine,Q9Y345,SLC6A5,4.036,IC50,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1
disopyramide,Q12809,KCNH2,4.036,IC50,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C
acyclovir,P00491,PNP,4.04,Ki,NC1=NC2=C(N=CN2COCCO)C(=O)N1
acyclovir,P00491,PNP,4.04,Ki,NC1=NC2=C(N=CN2COCCO)C(=O)N1
bifemelane,Q9Y468,L3MBTL1,4.04,IC50,CNCCCCOC1=C(CC2=CC=CC=C2)C=CC=C1
ciprofloxacin,P37340,mdtK,4.04,Kd,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
enprofylline,P46616,ADORA2A,4.04,Ki,CCCN1C2=C(N=CN2)C(=O)NC1=O
fendiline,P12746,luxR,4.04,IC50,CC(NCCC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
hexamethonium,P30926|P43681,CHRNB4|CHRNA4,4.04,IC50,C[N+](C)(C)CCCCCC[N+](C)(C)C
hexamethonium,Q15825,CHRNA6,4.04,IC50,C[N+](C)(C)CCCCCC[N+](C)(C)C
nicotinamide,P53686,HST2,4.04,IC50,NC(=O)C1=CN=CC=C1
terfenadine,P12746,luxR,4.04,IC50,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
theophylline,E1BN64|P14100|Q01061,PDE3B|PDE1A|PDE1B,4.04,IC50,CN1C2=C(N=CN2)C(=O)N(C)C1=O
phenol,P00720,E,4.04,Kd,OC1=CC=CC=C1
elvitegravir,Q9WKE8,reverse transcriptas,4.04,IC50,COC1=C(CC2=C(F)C(Cl)=CC=C2)C=C2C(=O)C(=CN([C@H](CO)C(C)C)C2=C1)C(O)=O
carfilzomib,Q12809,KCNH2,4.04,IC50,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
carfilzomib,Q12809,KCNH2,4.04,IC50,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
trenbolone hexahydrobenzylcarbonate,P03433,PA,4.04,Kd,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)OCC1CCCCC1
metamizole,O75762,TRPA1,4.041,IC50,CN(CS(O)(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
adenosine triphosphate,P29410,Ak2,4.05,Ki,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
benzyl benzoate,P00811,ampC,4.05,IC50,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1
cetirizine,Q02763,TEK,4.05,Kd,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
dactinomycin,Q96IV0,NGLY1,4.05,Kd,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](NC2=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O
delavirdine,P00811,ampC,4.05,IC50,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2
