classe,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,skewness_roll_belt,skewness_roll_belt.1,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,skewness_roll_forearm,skewness_pitch_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z
A,123,26.1,-3.45,19,-1.536456,-2.060105,-0.244053,-0.189082,-3.4,20,-1.5,-4.1,19,-1.5,0.7,1,0.3,123,0.2,0,26.1,0.1,0,-3.7,0.3,0.06,-0.45,-0.02,-0.44,-41,71,-171,1,585,-362,-39,17.2,-44.2,30,55.463,-72.5273,17.4955,306.0923,32.6318,5.0481,25.4836,-105.7773,30.2326,914.0074,-2.52,0.85,0.1,263,36,121,578,236,311,2.37332,-0.94894,-0.99452,-1.74575,0.70488,0.60601,39.1,-44.2,30,17.2,-135,6,21.9,90.8,24,-10,48.3,107.5,-0.9212,-0.8563,0.111,-0.3521,60.5,137.1,-0.9,15.1,92.8,-0.9,45.43,44.3,6,2.5729,4.3351,15.6591,245.2082,35.5386,11.6239,135.1153,117.7294,11.7043,136.9908,0.9,-0.22,-0.18,28,-6,53,526,-518,-134,-159,59.6,-153,-1.5432,5.2852,0.3405,-2.4009,64.2,177,-1.5,12.3,-175,-1.5,51.9,352,29,9.92548,94.40909,85.79459,7360.71247,33.94773,19.79325,391.77279,80.72273,82.3813,6786.67901,0.5,-2.67,-0.48,-172,126,-188,-655,49,393
A,129,-40.2,168,19,-1.293601,20.819259,0.187107,-4.683414,177,19,-1.3,168,18,-1.3,9,1,0,127.6,1.1,1.3,-41.5,1,1,172.2,2.8,8.05,0.1,0.11,-0.18,47,44,-173,184,593,-362,-91.3,35.7,103,22,0.6809,-112.6957,13.9287,194.0095,48.483,7.6647,58.7475,86.0723,11.0668,122.4747,0.11,-0.43,0.57,-209,-60,25,-74,185,667,-1.37753,-1.32036,-0.55335,-0.1533,-0.11904,0.16521,59.6,103,25,35.7,67.9,22,23.9,35.1,3,41.8,-22.6,-108.9,0.3533,0.3865,-0.2364,-0.8496,-22.6,-98,0.4,-30.8,-110.3,0.4,8.15,12.28,19,0.2294,46.507,2.857,8.1625,-26.3241,1.6711,2.7925,-102.5324,2.9258,8.5601,0.19,0.02,0.02,-42,76,-166,-575,259,2,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,13,0.40518,0,0,0,0,0,0,0,0,0,-0.32,1.01,0.02,76,94,44,649,-157,-27
A,129,-40.4,163,18,NA,NA,NA,NA,163,18,NA,163,18,NA,0,0,0,129,0,0,-40.4,0.1,0,163,0,0,0.11,0.11,-0.18,44,45,-164,185,599,-348,51.3,37.4,120,29,0,34.7891,9.9828,99.6565,25.0935,6.8777,47.3033,140.8913,9.4686,89.6546,0.27,-0.51,0.84,-276,-50,-34,-336,320,559,-1.20299,-0.57011,NA,0.15431,-0.75313,NA,37.4,152,29,14.5,120,29,22.9,32,0,40.4,-29.5,-106,-0.6725,-0.3902,-0.0096,0.4432,-27.9,-101.9,-0.7,-30.8,-108,-0.7,2.93,6.09,18,0.0217,41.5151,1.5012,2.2535,-29.3373,0.7401,0.5478,-105.1369,1.4035,1.9698,0.11,0.06,-0.07,-51,69,-153,-585,235,6,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,13,0.22077,0,0,0,0,0,0,0,0,0,1.14,0.11,0.52,71,97,42,655,-112,32
A,129,-39.6,161,18,2.912541,NA,-2.180288,NA,161,18,2.9,160,18,2.9,1,0,0.1,129.2,0.4,0.2,-39.6,0.2,0,160.9,0.3,0.09,0.18,0.11,-0.16,45,44,-162,171,604,-343,-110,54.5,-169,29,0.2946,-124.0189,20.1823,407.3266,59.4453,8.2709,68.4071,-67.6792,158.0789,24988.9528,0.26,-0.45,0.71,-276,-43,-43,-319,370,534,-1.30132,-2.05827,2.91254,-0.10585,0.23528,2.18029,72.4,180,30,54.5,-179,29,17.9,359,1,39.6,-31.6,-105.3,-0.1713,-0.0858,0.3887,-0.4002,-26.8,-103.7,-0.2,-32.7,-111.9,-0.2,5.89,8.17,18,0.2366,37.6677,2.9555,8.7351,-30.1855,1.6707,2.7914,-107.738,1.9441,3.7794,0.14,0.02,-0.16,-54,67,-151,-584,228,9,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,12,0.41727,0,0,0,0,0,0,0,0,0,0.8,0.03,0.92,64,97,32,651,-183,-48
A,126,-42.5,166,18,2.603688,1.488647,1.918416,0.290885,166,19,2.6,161,17,2.6,5,2,0.2,128.4,1,1,-40.1,0.8,0.6,161.8,1.4,2.09,0.39,0.18,0.03,15,59,-161,190,606,-337,-75.9,23.2,-149,28,0.0233,-89.2605,7.9034,62.4634,34.686,7.1337,50.8903,-158.093,5.1861,26.8959,0.27,-0.5,0.77,-267,-58,-23,-284,282,598,-1.38765,-1.32408,43,-0.04186,0.17066,-6.55744,45.5,-149,28,23.2,-166,27,22.3,17,1,40.9,-32.6,-103.5,0.0967,1.2267,0.4895,-0.3781,-26.5,-103.5,0.1,-33.7,-116.3,0.1,7.18,12.74,17,0.1949,35.0093,2.7639,7.6391,-30.7008,1.6109,2.595,-109.5516,2.5082,6.2909,0.1,0.05,-0.15,-54,67,-145,-588,212,25,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,29,58.46733,0,0,0,0,0,0,0,0,0,-3.08,-1.22,-7.94,27,158,-237,230,324,-466
A,126,-41.3,164,17,-0.317284,7.120083,0.679307,2.059648,166,20,-0.3,161,16,-0.3,5,4,0.4,126.2,0.6,0.3,-41.3,0.6,0.4,163.2,1.5,2.22,0.1,0.1,-0.16,49,42,-155,186,606,-315,-42.9,5.66,-128,25,1.3833,-59.382,9.3664,87.7289,13.3562,4.8876,23.8886,-137.46,7.005,49.0698,0.22,-0.48,0.67,-236,-63,11,-168,227,647,-1.02343,-1.44959,-1.21987,0.14007,-0.29093,0.06517,22.7,-128,28,5.7,-149,24,17.04,21,4,44,-29.5,-102.9,0.1105,-0.0308,-0.7291,0.5929,-26.6,-101.4,0.1,-37.6,-114.8,0.1,11.03,13.45,19,0.3367,35.0907,2.883,8.3118,-31.149,2.5184,6.3422,-109.1437,2.9774,8.8647,0.21,0.1,-0.2,-54,79,-159,-590,246,-15,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,41,27.52204,0,0,0,0,0,0,0,0,0,0.9,1.03,-2.23,-45,396,-44,-115,873,360
A,125,-44.5,170,18,-1.443997,1.563592,0.398721,-0.369243,170,19,-1.4,160,17,-1.4,10,2,0.2,126.8,1.3,1.8,-41.9,1.8,3.3,164.3,3.8,14.78,0.08,0.13,-0.13,51,45,-160,197,587,-341,27.5,18.5,-142,25,0.0587,9.6276,10.9556,120.0253,9.5557,4.552,20.7205,-133.3673,2.8482,8.1122,0.27,-0.53,0.84,-236,-66,9,-176,238,642,-1.03671,1.71204,12.78655,0.45193,-1.37664,-3.77702,18.5,-130,25,3.7,-142,24,14.83,12,1,42.2,-30.2,-104,-0.5075,-0.6866,-0.4005,0.7197,-21,-89.9,-0.5,-38.1,-113.7,-0.5,17.1,23.82,16,1.2364,41.8304,7.3311,53.7456,-29.4179,4.1592,17.2993,-104.5595,7.3215,53.6048,0.03,0.06,-0.08,-48,66,-139,-578,239,53,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,42,3.07058,0,0,0,0,0,0,0,0,0,1.04,0.67,0.61,-19,404,-53,-114,715,298
A,131,-42.3,162,19,-1.348439,-2.01825,0.009774,0.260179,163,19,-1.3,159,18,-1.3,4,1,0.3,129.6,1.1,1.3,-41.7,1.2,1.4,160.6,1.3,1.64,0,0.05,-0.25,25,47,-174,167,604,-356,104,68.7,143,26,0.4215,76.35,12.9076,166.6072,55.025,7.9299,62.8828,150.4583,9.0294,81.5301,0.37,-0.72,1.05,-240,-79,18,-198,219,648,-1.15656,-0.96646,-0.23849,-0.04254,0.60813,0.24526,68.7,169,27,41.4,140,24,27.3,29,3,39.8,-31.9,-104.9,0.8738,0.7673,-0.8675,0.3403,-27.5,-96.7,0.9,-36.6,-114.2,0.9,9.06,17.53,18,0.2961,39.8475,3.81,14.5165,-30.6632,2.14,4.5795,-105.6139,3.8254,14.6339,0.1,0.1,-0.23,-55,68,-152,-579,247,35,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,42,5.52482,0,0,0,0,0,0,0,0,0,0.9,0.59,0.21,-22,411,-40,-146,763,532
A,124,-41.7,163,17,-0.526626,NA,0.213506,NA,163,17,-0.5,161,17,-0.5,2,0,0,124.9,0.3,0.1,-41.3,0.3,0.1,161.7,0.6,0.38,0.16,0.13,-0.13,48,45,-152,165,616,-295,-87.7,42,-138,24,0.4568,-112.9737,17.8541,318.7677,55.8702,8.7266,76.1528,-143.2456,3.6998,13.6886,0.24,-0.42,0.87,-228,-48,3,-138,262,635,-1.33577,-0.6798,-0.7622,0.05671,-0.59209,0.20027,70.3,-138,26,42,-152,24,28.3,14,2,34.2,-32.9,-108.6,-0.5864,1.3662,-0.4745,-0.0817,-27.3,-96.4,-0.6,-33.3,-108.6,-0.6,6.01,12.23,17,0.2538,44.4758,3.1743,10.0762,-29.9294,1.5983,2.5546,-102.142,2.2773,5.1859,0.03,0.11,0.15,-53,55,-145,-566,251,54,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,41,6.99812,0,0,0,0,0,0,0,0,0,0.58,1.06,0.2,-23,400,-51,-120,735,422
A,121,-43.5,172,18,-1.075175,-1.830899,0,0.508639,173,18,-1.1,171,17,-1.1,2,1,0.2,121.2,0.4,0.1,-43.6,0.2,0,172,0.7,0.54,0.08,0.11,-0.23,47,46,-159,167,610,-300,6.68,73.3,-36.1,23,19.9419,8.7402,2.4055,5.7863,28.5114,28.2663,798.9864,-14.8124,9.5912,91.9907,1.38,-0.79,0.92,-213,-51,34,-39,229,650,-1.34317,-0.68637,-1.08282,-0.00051,-0.59605,0.16094,73.3,-2,23,-16.2,-36.1,7,89.5,34.1,16,56.7,-27.2,-92.7,2.6808,-0.479,-1.4383,-0.4906,-24.8,-80.8,2.7,-37.6,-96.7,2.7,12.8,15.91,17,0.374,60.7805,4.9628,24.6291,-29.1916,2.7118,7.3541,-87.5747,3.9021,15.226,0.27,0.21,0.02,-46,92,-137,-528,321,28,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,50,6.75552,0,0,0,0,0,0,0,0,0,1.38,-0.35,0.69,-26,493,-14,-133,758,498
